STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,TIME_PERIOD,Time,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,TYPE,Type,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,PG,Papua New Guinea,SILV,Number of silver medals,SOG,Summer Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,PG,Papua New Guinea,BRON,Number of bronze medals,SOG,Summer Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,VU,Vanuatu,SILV,Number of silver medals,SOG,Summer Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,FM,Micronesia (Federated States of),GOLD,Number of gold medals,SOG,Summer Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,FM,Micronesia (Federated States of),PART,Number of Olympics attended,WOG,Winter Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,FM,Micronesia (Federated States of),PART,Number of Olympics attended,_T,Total,6,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,PG,Papua New Guinea,GOLD,Number of gold medals,_T,Total,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,VU,Vanuatu,GOLD,Number of gold medals,SOG,Summer Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,VU,Vanuatu,PART,Number of Olympics attended,_T,Total,9,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,TV,Tuvalu,SILV,Number of silver medals,WOG,Winter Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,WS,Samoa,GOLD,Number of gold medals,SOG,Summer Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,WS,Samoa,GOLD,Number of gold medals,WOG,Winter Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,TO,Tonga,SILV,Number of silver medals,WOG,Winter Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,TO,Tonga,BRON,Number of bronze medals,_T,Total,0,,N,units,,,,,,,,
